,Label,Tweet
0,0,dulu waktu ngomongin asn radikal celana cingkrang puji kok tiba ubah
1,1,aku wong bodo politik tp turut lihat video celana cingkrang jenggot ga mau salam radikal dlm islam jg ajar
2,1,asn sukarela pakai celana cingkrang pak
3,1,islamofobia idap kuasa tampak jelas bagai nyata program maupun bijak bijak ambil lantik menteri agama fachrul razi langsung wacana larang hijab celana cingkrang asn stopislamofobia
4,1,islamofobia idap kuasa tampak jelas bagai nyata program maupun bijak bijak ambil lantik menteri agama fachrul razi langsung wacana larang hijab celana cingkrang asn stopislamophobia
5,1,cadar bukan ajar islam celana cingkrang bukan ajar islam larang guna khusus asn atur pakai cadar cingkrang gak larang arah olah tentang islam sakit
6,0,kok jadi radikal tanya gadang umat terima ria nya sebut radikal lalu sisi atur celana asn cingkrang boleh berniqab biasa umat yng benci selalu diskredit
7,1,guru besar ipdn kritik larang asn cadar celana cingkrang
8,1,beritaislam guru besar ipdn kritik larang asn cadar celana cingkrang
11,1,dosen ui angkat bicara soal wacana larang asn guna cadar celana cingkrang
12,0,kasihan asn punya harta banyak d curiga korupsi celana cingkrang n jidad tanda curiga radikal
13,0,asn maksud seru ganti pancasila ukur cap radikal pakai celana cingkrang pakai tutup wajah jenggot
14,0,terus asn pake cadar celana cingkrang gimana wkwkwk bahlul ente
15,0,demam panggung bapak larang cadar celana cingkrang asn ralat minta maaf rekomendasi panjang fpi ngga teliti baca ad art keras bacot fisik pernah mrk laku
16,0,gampaaaang stlh ttd atas meterai silah lanjut celana cingkrang amp cadar laku bukan utk asn aja tp buat seluruh wni mdh aja koq skrg bilang a besok h lusa z hilang radikalisme tp biang biar sakarepmu lah
17,0,atur tetap atur sama kayak celana cingkrang gg dipakek sama asn
18,1,lantik menteri agama islam menteri semua agama indonesia asn larang pakai cadar celana cingkrang mulai fpi setia pancasila lalu orang bingung kok menag main duduk arah sih
19,0,min kait pasal ayat jelasin yah kalau tni enggak asn enggak pakai cadar celana cingkrang sana atur sendiri ujar menteri agama fachrul razi dpr kamis nov
20,0,sy bukan menteri agama islam cingkrang cadar larang asn fpi setia nkri pancasila lusa diviralkan menag rakyattolakkerasfpi rakyattolakkerasfpi rakyattolakkerasfpi
21,0,awal koar tega toleransi n bubar radikalisme menteri semua agama lingkung asn larang pake jilbab celana cingkrang selang berapa minggu tunduk tiarap bawah kaki ormas bajing fpi kayak kucing siram air panas
22,0,gerindra teriak bela lgbt for asn waktu malah minta atur asn larang cadar cingkrang ham atas contoh ham beda laku ask why or ask for whom we donot forget we do not forgive
23,0,awal statement aq menteri semua agama stop jilbab celana cingkrang lingkung asn sama fpi nyali ciut udah tau fpi track record bahaya toleransi negara klo kaga berani biar masyarakat bubarin pake hukum rimba
24,0,cadar janggut cingkrang gak masalah kalo lepas cadar kalo jadi asn taat
25,1,lah nglarang cingkrang ama cadar asn ngapa diem bae
26,0,kemaren waktu wacana celana cingkrang cadar larang asn ikut atur perintah kalau gak mau nurut resign bla bla bla skrg lgbt larang daftar cpns jaksa ri kata hak azasi bla bla dasar kaum standar ganda
27,1,kemaren waktu menag masalahin celana cingkrang cadar kerja asn pegawai bumn akun partai kok gak teriak soal kasih sayang sama makhluk allah gak dihilangin hak nya uni
28,1,ham junjung tinggi asn tdk apa apa pakaj cadar celana cingkrang asn tdk apa apa lgbt adil semua
29,0,aneh muncul wacana larang guna cadar celana cingkrang asn guna papar radikalisme agama elite gagap radikalisme liberal hasil rusak sendi hidup sosial masyarakat radikal radikul euy
30,0,hari cingkrang cadar protes hari cingkrang cadar lingkung asn protes hari atur laku lingkung kemenag protes hari hari lanjut laku binmas kristen budha tapir minoritas lain
31,0,urus mau gin ngapain urus sgala asn cadar amp cingkrang cm akibat kalo nya dibrantas akibat akibat nya pst ikut ilang
32,0,politikbarter celana cingkrang dn cadar kena asn gt lt orientasi seksual syarat masuk asn prabowo jadi menteri gt lt ahok komisar pertamina rizieq shihab ga balik gt lt fpi lanjut susul ruu pks gt lt revisi uu kpk entah mau gimana barter
33,0,bahas asn cingkrang cadar suara lantang serak keluaaaaar eh sekarang koq jadi kayak film susana bokir kecuuuuuuuuuuut
34,0,agnez mo cadar palagi celana cingkrang nasionalisme mu tak pudar aku tdk milik darah indonesia palagi agnez bkn asn tenang sj tetp karya menag tak campur urus
35,0,menteri agama larang orang cadar celana cingkrang masuk asn partai islam diam jagung larang lgbt daftar cpns partai islam ngamuk situ kalian lihat ngegemesin obrolanlelaki
36,0,cingkrang tak asn sarung ganti celana yai ganti sebut
37,0,iyak ktika menag larang clana cingkrang cadar menteri doi diam bae tdk pandang diskriminatif eeh ktika jagung larang lgbt jadi asn tetiba doi reak diakriminatif liberal celup
38,1,lhoiya bang mule menag soal sejak teriak soal celana cingkrang ngapain sih menag urus fashion asn biar urus sama kemenpan amp rb bekerjasama itang yunasz ivan gunawan aja
39,0,banyak pak noh bumn asn byk papar radikal pd mo gnti srgam pke celana cingkrang sm cadar mo ngarab lbh dr arab pdhl negara pny identitas sdri tp mlh bangga pke indentitas negara laen
40,1,larang cadar celana cingkrang anggap gak sesuai atur asn lo gak komen
41,1,pak menag harus malu masa asn gaboleh pake celana cingkrang malu pak
42,1,nu kieu sebut langgar ham menag larang asn cadar celana cingkrang suara kalian hak asasi manusia my ass
43,0,sama aja sih kaya larang cadar celana cingkrang buat asn kata kemarin suruh naatin atur gin aja langsung koar diskriminasi lah kemaren apa dong
44,0,jauh beda perintah nyata opini kena larang cadar celana cingkrang asn sebab gelintir org laku bom laknatullah
45,1,ulama menag tegas diri pernah larang celana cingkrang cadar menag minta asn patuh atur pakat masuk surat putus sama skb tangan radikalisme asn rangka kuat wawas bangsa asn
46,0,tampil cingkrang larang jadi asn
47,0,simpati sih sah cuma gak salah karna mungkin atur institusi polri asn cingkrang cadar kantor dinas atur institusi tsb moga semua disiplin
48,0,asn larang guna celana cingkrang cadar menteri agama laknatullah gausah menganggu ranah privat lah asn larang lgbt bagus lah lgbt najis gay emang suka cowo ga semua cowo suka sama kaya hetero double standard
49,0,gak suka atur silah angkat kaki dr yogyakarta sama aja sama atur perintah larang asn celana cingkrang amp cadar atur sampe sini paham koh
50,0,rasulullah saw pake gamis g pake celana cingkrang sedang celana cingkrang lebih cenderung pakai ala afghanistan jd sah aja atribut larang atas dasar atur pakai pns asn
51,1,ahmad dan tak terus ahok arti langgar sara dong gue sih kalau liberal asn mau cingkrang cadar sila papar khilafah sila baru papar takut jangan kalau papar demokrasi liberal kalian takut
52,0,sengaja asn pake atribut cingkrang jenggot cadar khilafat mau pecatin bumn karna rekan cina nya mau masukin bumn ooo gitu ahokbikinrusuhnegri
53,0,baca asn luar serah mau cingkrang cungkring cankring
54,1,bener boleh dong buat asn pakai cingkrang hijab burqa cadar baca kalimat sama duduk satu hapus dong syarat skck lamar pegawai asn bumn perintah gimana sesuai pasal
55,1,urus aja buzer jkw kasus bu suk jgn urus ustad or asn or cadar or cingkrang
56,1,kemenag ri minta asn bicara hati bicara ttg cadar celana cingkrang sdh sakit byk org
57,0,guna cadar celana cingkrang tetap larang asn dilinggkungan menag ngk ubah ko kalau bukan asn bebas
58,1,mungkin teman teman tahu cinta celana cingkrang kata fachrul hadap asn kemenag aceh
